Operação,Semestre,Abertura,Fechamento,Dias,Retorno total,Ticker 1,Ticker 2,Converged,Index,Retorno total - exp
1,0,252,263,11,0.12244485428121754,IFF,WLA,True,IFF-WLA-1,1.130256789532328
2,0,267,268,1,0.0,IFF,WLA,True,IFF-WLA-2,1.0
3,0,270,277,7,0.00251654157663328,IFF,WLA,True,IFF-WLA-3,1.0025197107252606
4,0,291,304,13,0.003958448286849325,IFF,WLA,True,IFF-WLA-4,1.0039662932912017
5,0,308,312,4,0.0010548884031971184,IFF,WLA,True,IFF-WLA-5,1.001055444993665
6,0,327,328,1,0.0,IFF,WLA,True,IFF-WLA-6,1.0
7,0,329,330,1,0.0,IFF,WLA,True,IFF-WLA-7,1.0
8,0,343,345,2,-0.007540719622023406,IFF,WLA,True,IFF-WLA-8,0.9924876402747367
9,0,347,353,6,0.0006798380691988015,IFF,WLA,True,IFF-WLA-9,1.0006800692114757
10,0,355,379,24,-0.024459540684075076,IFF,WLA,False,IFF-WLA-10,0.9758371698240619
1,0,252,258,6,-0.00033272045025167785,AEP,CEG,True,AEP-CEG-1,0.999667334895059
2,0,260,262,2,-0.00016148830673978765,AEP,CEG,True,AEP-CEG-2,0.9998385247317949
3,0,263,265,2,-0.008086019934308464,AEP,CEG,True,AEP-CEG-3,0.9919465839870442
4,0,267,272,5,-0.00048332291912744907,AEP,CEG,True,AEP-CEG-4,0.9995167938625794
5,0,274,277,3,0.009222702931771742,AEP,CEG,True,AEP-CEG-5,1.009265363102961
6,0,281,283,2,0.0,AEP,CEG,True,AEP-CEG-6,1.0
7,0,284,285,1,0.0,AEP,CEG,True,AEP-CEG-7,1.0
8,0,286,289,3,-0.005043653644920099,AEP,CEG,True,AEP-CEG-8,0.9949690442192789
9,0,290,292,2,0.004168735674848989,AEP,CEG,True,AEP-CEG-9,1.0041774369403027
10,0,293,295,2,0.0036280274773412557,AEP,CEG,True,AEP-CEG-10,1.0036346167352892
11,0,298,299,1,0.0,AEP,CEG,True,AEP-CEG-11,1.0
12,0,300,309,9,0.007966142071196725,AEP,CEG,True,AEP-CEG-12,1.007997956203468
13,0,312,336,24,0.00993419789505623,AEP,CEG,True,AEP-CEG-13,1.0099837058437438
14,0,337,338,1,0.0,AEP,CEG,True,AEP-CEG-14,1.0
15,0,341,342,1,0.0,AEP,CEG,True,AEP-CEG-15,1.0
16,0,343,345,2,-0.011409666111460659,AEP,CEG,True,AEP-CEG-16,0.9886551772808052
