,Operação,Semestre,Abertura,Fechamento,Dias,Retorno total,Ticker 1,Ticker 2,Converged,Index,Retorno total - exp,date,is_bear_market
0,1,0,252,263,11,0.1224448542812175,IFF,WLA,True,IFF-WLA-1,1.130256789532328,1992-06-03,0.0
1,2,0,267,268,1,0.0,IFF,WLA,True,IFF-WLA-2,1.0,1992-06-24,0.0
2,3,0,270,277,7,0.0025165415766332,IFF,WLA,True,IFF-WLA-3,1.0025197107252606,1992-06-29,0.0
3,4,0,291,304,13,0.0039584482868493,IFF,WLA,True,IFF-WLA-4,1.0039662932912017,1992-07-29,0.0
4,5,0,308,312,4,0.0010548884031971,IFF,WLA,True,IFF-WLA-5,1.001055444993665,1992-08-21,0.0
5,6,0,327,328,1,0.0,IFF,WLA,True,IFF-WLA-6,1.0,1992-09-18,0.0
6,7,0,329,330,1,0.0,IFF,WLA,True,IFF-WLA-7,1.0,1992-09-22,0.0
7,8,0,343,345,2,-0.0075407196220234,IFF,WLA,True,IFF-WLA-8,0.9924876402747368,1992-10-13,0.0
8,9,0,347,353,6,0.0006798380691988,IFF,WLA,True,IFF-WLA-9,1.0006800692114757,1992-10-19,0.0
9,10,0,355,379,24,-0.024459540684075,IFF,WLA,False,IFF-WLA-10,0.975837169824062,1992-10-29,0.0
10,1,0,252,258,6,-0.0003327204502516,AEP,CEG,True,AEP-CEG-1,0.999667334895059,1992-06-03,0.0
11,2,0,260,262,2,-0.0001614883067397,AEP,CEG,True,AEP-CEG-2,0.9998385247317948,1992-06-15,0.0
12,3,0,263,265,2,-0.0080860199343084,AEP,CEG,True,AEP-CEG-3,0.9919465839870442,1992-06-18,0.0
13,4,0,267,272,5,-0.0004833229191274,AEP,CEG,True,AEP-CEG-4,0.9995167938625794,1992-06-24,0.0
14,5,0,274,277,3,0.0092227029317717,AEP,CEG,True,AEP-CEG-5,1.009265363102961,1992-07-06,0.0
15,6,0,281,283,2,0.0,AEP,CEG,True,AEP-CEG-6,1.0,1992-07-15,0.0
16,7,0,284,285,1,0.0,AEP,CEG,True,AEP-CEG-7,1.0,1992-07-20,0.0
17,8,0,286,289,3,-0.00504365364492,AEP,CEG,True,AEP-CEG-8,0.9949690442192788,1992-07-22,0.0
18,9,0,290,292,2,0.0041687356748489,AEP,CEG,True,AEP-CEG-9,1.0041774369403027,1992-07-28,0.0
19,10,0,293,295,2,0.0036280274773412,AEP,CEG,True,AEP-CEG-10,1.0036346167352892,1992-07-31,0.0
20,11,0,298,299,1,0.0,AEP,CEG,True,AEP-CEG-11,1.0,1992-08-07,0.0
21,12,0,300,309,9,0.0079661420711967,AEP,CEG,True,AEP-CEG-12,1.007997956203468,1992-08-11,0.0
22,13,0,312,336,24,0.0099341978950562,AEP,CEG,True,AEP-CEG-13,1.0099837058437438,1992-08-27,0.0
23,14,0,337,338,1,0.0,AEP,CEG,True,AEP-CEG-14,1.0,1992-10-02,0.0
24,15,0,341,342,1,0.0,AEP,CEG,True,AEP-CEG-15,1.0,1992-10-08,0.0
25,16,0,343,345,2,-0.0114096661114606,AEP,CEG,True,AEP-CEG-16,0.9886551772808052,1992-10-13,0.0
26,17,0,346,349,3,0.0039275929681896,AEP,CEG,True,AEP-CEG-17,1.003935316069207,1992-10-16,0.0
27,18,0,350,351,1,0.0,AEP,CEG,True,AEP-CEG-18,1.0,1992-10-22,0.0
28,19,0,353,357,4,0.0040716096965254,AEP,CEG,True,AEP-CEG-19,1.0040799099606077,1992-10-27,0.0
29,20,0,359,360,1,0.0,AEP,CEG,True,AEP-CEG-20,1.0,1992-11-04,0.0
30,21,0,372,379,7,-0.0044256469489174,AEP,CEG,False,AEP-CEG-21,0.9955841317954652,1992-11-24,0.0
31,1,0,252,277,25,0.037001893609049,EIX,2254Q,True,EIX-2254Q-1,1.0376949858249118,1992-06-03,0.0
