,index,date,is_bear_market
0,0,1991-06-03,0
1,1,1991-06-04,0
2,2,1991-06-05,0
3,3,1991-06-06,0
4,4,1991-06-07,0
5,5,1991-06-10,0
6,6,1991-06-11,0
7,7,1991-06-12,0
8,8,1991-06-13,0
9,9,1991-06-14,0
10,10,1991-06-17,0
11,11,1991-06-18,0
12,12,1991-06-19,0
13,13,1991-06-20,0
14,14,1991-06-21,0
15,15,1991-06-24,0
16,16,1991-06-25,0
17,17,1991-06-26,0
18,18,1991-06-27,0
19,19,1991-06-28,0
20,20,1991-07-01,0
21,21,1991-07-02,0
22,22,1991-07-03,0
23,23,1991-07-05,0
24,24,1991-07-08,0
25,25,1991-07-09,0
26,26,1991-07-10,0
27,27,1991-07-11,0
28,28,1991-07-12,0
29,29,1991-07-15,0
30,30,1991-07-16,0
31,31,1991-07-17,0
32,32,1991-07-18,0
33,33,1991-07-19,0
34,34,1991-07-22,0
35,35,1991-07-23,0
36,36,1991-07-24,0
37,37,1991-07-25,0
38,38,1991-07-26,0
39,39,1991-07-29,0
40,40,1991-07-30,0
41,41,1991-07-31,0
42,42,1991-08-01,0
43,43,1991-08-02,0
44,44,1991-08-05,0
45,45,1991-08-06,0
46,46,1991-08-07,0
47,47,1991-08-08,0
48,48,1991-08-09,0
49,49,1991-08-12,0
50,50,1991-08-13,0
51,51,1991-08-14,0
52,52,1991-08-15,0
53,53,1991-08-16,0
54,54,1991-08-19,0
55,55,1991-08-20,0
56,56,1991-08-21,0
57,57,1991-08-22,0
58,58,1991-08-23,0
59,59,1991-08-26,0
60,60,1991-08-27,0
61,61,1991-08-28,0
62,62,1991-08-29,0
63,63,1991-08-30,0
64,64,1991-09-03,0
65,65,1991-09-04,0
66,66,1991-09-05,0
67,67,1991-09-06,0
68,68,1991-09-09,0
69,69,1991-09-10,0
70,70,1991-09-11,0
71,71,1991-09-12,0
72,72,1991-09-13,0
73,73,1991-09-16,0
74,74,1991-09-17,0
75,75,1991-09-18,0
76,76,1991-09-19,0
77,77,1991-09-20,0
78,78,1991-09-23,0
79,79,1991-09-24,0
80,80,1991-09-25,0
81,81,1991-09-26,0
82,82,1991-09-27,0
83,83,1991-09-30,0
84,84,1991-10-01,0
85,85,1991-10-02,0
86,86,1991-10-03,0
87,87,1991-10-04,0
88,88,1991-10-07,0
89,89,1991-10-08,0
90,90,1991-10-09,0
91,91,1991-10-10,0
92,92,1991-10-11,0
93,93,1991-10-15,0
94,94,1991-10-16,0
95,95,1991-10-17,0
96,96,1991-10-18,0
97,97,1991-10-21,0
98,98,1991-10-22,0
99,99,1991-10-23,0
100,100,1991-10-24,0
101,101,1991-10-25,0
102,102,1991-10-28,0
103,103,1991-10-29,0
104,104,1991-10-30,0
105,105,1991-10-31,0
106,106,1991-11-01,0
107,107,1991-11-04,0
108,108,1991-11-05,0
109,109,1991-11-06,0
110,110,1991-11-07,0
111,111,1991-11-08,0
112,112,1991-11-12,0
113,113,1991-11-13,0
114,114,1991-11-14,0
115,115,1991-11-15,0
116,116,1991-11-18,0
117,117,1991-11-19,0
118,118,1991-11-20,0
119,119,1991-11-21,0
120,120,1991-11-22,0
121,121,1991-11-25,0
122,122,1991-11-26,0
123,123,1991-11-27,0
124,124,1991-11-29,0
125,125,1991-12-02,0
126,126,1991-12-03,0
127,127,1991-12-04,0
128,128,1991-12-05,0
129,129,1991-12-06,0
130,130,1991-12-09,0
131,131,1991-12-10,0
132,132,1991-12-11,0
133,133,1991-12-12,0
134,134,1991-12-13,0
135,135,1991-12-16,0
136,136,1991-12-17,0
137,137,1991-12-18,0
138,138,1991-12-19,0
139,139,1991-12-20,0
140,140,1991-12-23,0
141,141,1991-12-24,0
