,Semester,Days,S1,S2,Pair,Return,Converged,Count day
0,0,33,JCI,1436513D,JCI-1436513D,1.0000339721296883,True,33
1,0,13,JCI,1436513D,JCI-1436513D,1.000067053695677,True,47
2,0,28,JCI,1436513D,JCI-1436513D,1.0000880773032392,True,78
3,0,9,JCI,1436513D,JCI-1436513D,1.0000487634419453,True,87
4,0,17,JCI,1436513D,JCI-1436513D,1.0000517140747271,True,105
5,0,2,JCI,1436513D,JCI-1436513D,1.0000496473936427,True,108
6,0,4,JCI,1436513D,JCI-1436513D,1.0000530726014745,True,116
7,0,2,JCI,1436513D,JCI-1436513D,1.0000530720456642,True,118
8,0,8,JCI,1436513D,JCI-1436513D,1.0000303561700472,True,126
9,0,10,PEG,0961514D,PEG-0961514D,1.0277667832540782,True,23
10,0,15,PEG,0961514D,PEG-0961514D,1.0124723024982716,True,45
11,0,6,PEG,0961514D,PEG-0961514D,1.0190905987796226,True,58
12,0,34,PEG,0961514D,PEG-0961514D,0.9900946246279267,False,127
13,0,12,45200Q,CNP,45200Q-CNP,1.0214987573613943,True,47
14,0,37,45200Q,CNP,45200Q-CNP,1.018000904985745,True,104
15,0,15,CNP,SO,CNP-SO,1.0221179465833494,True,36
16,0,4,CNP,SO,CNP-SO,1.0171369580179683,True,40
17,0,16,CNP,SO,CNP-SO,1.024648462021603,True,58
18,0,25,CNP,SO,CNP-SO,1.01699286958196,True,92
19,0,3,CNP,SO,CNP-SO,1.019876736996286,True,96
20,0,6,CNP,SO,CNP-SO,1.0202179222289454,True,107
21,0,4,CNP,SO,CNP-SO,1.0250250288628284,True,113
22,0,6,CNP,SO,CNP-SO,1.000603274861431,False,127
23,0,34,45200Q,SO,45200Q-SO,1.0290592952836626,True,58
24,0,5,45200Q,SO,45200Q-SO,1.029974670247395,True,95
25,0,2,45200Q,SO,45200Q-SO,1.018558003018284,True,97
26,0,4,45200Q,SO,45200Q-SO,1.026997763078728,True,103
27,0,7,45200Q,SO,45200Q-SO,1.0195238776964461,True,117
28,0,7,45200Q,SO,45200Q-SO,0.9780474309123903,False,127
