,Semester,Days,S1,S2,Pair,Return,Converged,Count day,date,is_bear_market
0,0,33,JCI,1436513D,JCI-1436513D,1.0000339721296885,True,33,1991-07-19,0
1,0,13,JCI,1436513D,JCI-1436513D,1.000067053695677,True,47,1991-08-08,0
2,0,28,JCI,1436513D,JCI-1436513D,1.0000880773032392,True,78,1991-09-23,0
3,0,9,JCI,1436513D,JCI-1436513D,1.0000487634419453,True,87,1991-10-04,0
4,0,17,JCI,1436513D,JCI-1436513D,1.0000517140747271,True,105,1991-10-31,0
5,0,2,JCI,1436513D,JCI-1436513D,1.0000496473936429,True,108,1991-11-05,0
6,0,4,JCI,1436513D,JCI-1436513D,1.0000530726014745,True,116,1991-11-18,0
7,0,2,JCI,1436513D,JCI-1436513D,1.0000530720456642,True,118,1991-11-20,0
8,0,8,JCI,1436513D,JCI-1436513D,1.0000303561700472,True,126,1991-12-03,0
9,0,10,PEG,0961514D,PEG-0961514D,1.0277667832540782,True,23,1991-07-05,0
10,0,15,PEG,0961514D,PEG-0961514D,1.0124723024982716,True,45,1991-08-06,0
11,0,6,PEG,0961514D,PEG-0961514D,1.0190905987796226,True,58,1991-08-23,0
12,0,34,PEG,0961514D,PEG-0961514D,0.9900946246279267,False,127,1991-12-04,0
13,0,12,45200Q,CNP,45200Q-CNP,1.0214987573613945,True,47,1991-08-08,0
14,0,37,45200Q,CNP,45200Q-CNP,1.018000904985745,True,104,1991-10-30,0
15,0,15,CNP,SO,CNP-SO,1.0221179465833494,True,36,1991-07-24,0
16,0,4,CNP,SO,CNP-SO,1.0171369580179683,True,40,1991-07-30,0
17,0,16,CNP,SO,CNP-SO,1.024648462021603,True,58,1991-08-23,0
18,0,25,CNP,SO,CNP-SO,1.01699286958196,True,92,1991-10-11,0
19,0,3,CNP,SO,CNP-SO,1.019876736996286,True,96,1991-10-18,0
20,0,6,CNP,SO,CNP-SO,1.0202179222289454,True,107,1991-11-04,0
21,0,4,CNP,SO,CNP-SO,1.0250250288628284,True,113,1991-11-13,0
22,0,6,CNP,SO,CNP-SO,1.000603274861431,False,127,1991-12-04,0
23,0,34,45200Q,SO,45200Q-SO,1.0290592952836626,True,58,1991-08-23,0
24,0,5,45200Q,SO,45200Q-SO,1.029974670247395,True,95,1991-10-17,0
25,0,2,45200Q,SO,45200Q-SO,1.018558003018284,True,97,1991-10-21,0
26,0,4,45200Q,SO,45200Q-SO,1.026997763078728,True,103,1991-10-29,0
27,0,7,45200Q,SO,45200Q-SO,1.019523877696446,True,117,1991-11-19,0
28,0,7,45200Q,SO,45200Q-SO,0.9780474309123904,False,127,1991-12-04,0
29,0,18,AEP,CEG,AEP-CEG,1.0305631537204336,True,17,1991-06-26,0
30,0,17,AEP,CEG,AEP-CEG,1.0249149919425156,True,35,1991-07-23,0
31,0,14,AEP,CEG,AEP-CEG,1.0233357722728376,True,49,1991-08-12,0
32,0,36,AEP,CEG,AEP-CEG,1.0340621016543792,True,91,1991-10-10,0
33,0,28,AEP,CEG,AEP-CEG,1.0218612723935234,True,119,1991-11-21,0
34,0,89,PCG,SO,PCG-SO,1.037764335584282,True,117,1991-11-19,0
35,0,45,D,TXU,D-TXU,1.0716195606298011,True,44,1991-08-05,0
36,0,77,D,TXU,D-TXU,0.9626112741031748,False,127,1991-12-04,0
37,0,10,ED,PEG,ED-PEG,1.0245400095974455,True,9,1991-06-14,0
38,0,6,ED,PEG,ED-PEG,1.0294678431745534,True,30,1991-07-16,0
39,0,3,ED,PEG,ED-PEG,1.0246459103553531,True,51,1991-08-14,0
40,0,21,ED,PEG,ED-PEG,1.031393280565052,True,74,1991-09-17,0
41,0,24,ED,PEG,ED-PEG,0.9719109641807114,False,127,1991-12-04,0
42,0,11,ED,0961514D,ED-0961514D,1.0173608354768953,True,45,1991-08-06,0
43,0,4,ED,0961514D,ED-0961514D,1.0253786397207891,True,63,1991-08-30,0
44,0,8,ED,0961514D,ED-0961514D,1.022655380398201,False,127,1991-12-04,0
45,0,4,45200Q,PCG,45200Q-PCG,1.0188501792616769,True,38,1991-07-26,0
46,0,19,45200Q,PCG,45200Q-PCG,1.0210874964118304,True,67,1991-09-06,0
47,0,31,45200Q,PCG,45200Q-PCG,1.020900930713945,True,99,1991-10-23,0
48,0,24,45200Q,PCG,45200Q-PCG,0.979306313707172,False,127,1991-12-04,0
49,0,6,KO,BMY,KO-BMY,1.0272803752110968,True,16,1991-06-25,0
50,0,104,KO,BMY,KO-BMY,0.7749282446450165,False,127,1991-12-04,0
51,0,4,EIX,PPW,EIX-PPW,1.029380386200024,True,3,1991-06-06,0
52,0,73,EIX,PPW,EIX-PPW,1.0244269096812069,True,83,1991-09-30,0
53,0,43,EIX,PPW,EIX-PPW,0.9930618946093336,False,127,1991-12-04,0
54,0,125,USW,PPW,USW-PPW,0.888673196175614,False,127,1991-12-04,0
55,0,103,AEP,NEE,AEP-NEE,1.008610814865715,False,127,1991-12-04,0
56,0,18,PPW,PEG,PPW-PEG,1.0406477574545607,True,38,1991-07-26,0
57,0,8,PPW,PEG,PPW-PEG,1.028226188889795,True,100,1991-10-24,0
58,0,4,PPW,PEG,PPW-PEG,1.031828894901667,True,109,1991-11-06,0
59,0,5,PPW,PEG,PPW-PEG,1.024827420189736,True,115,1991-11-15,0
60,0,4,PPW,PEG,PPW-PEG,1.0254224097929672,True,119,1991-11-21,0
61,0,84,CNP,PCG,CNP-PCG,1.0285296793477592,True,117,1991-11-19,0
62,0,4,CNP,PCG,CNP-PCG,0.9830744867010164,False,127,1991-12-04,0
63,0,17,PPW,0961514D,PPW-0961514D,1.0286323762865055,True,32,1991-07-18,0
64,0,9,PPW,0961514D,PPW-0961514D,1.0205410951925895,True,74,1991-09-17,0
65,0,4,CEG,NEE,CEG-NEE,1.0433861593580127,True,37,1991-07-25,0
66,0,7,CEG,NEE,CEG-NEE,1.0171062209391886,False,127,1991-12-04,0
67,0,7,NMK,MMM,NMK-MMM,1.038898285805005,True,13,1991-06-20,0
68,0,113,NMK,MMM,NMK-MMM,0.8991418706939694,False,127,1991-12-04,0
69,1,6,JCI,1436513D,JCI-1436513D,1.0000786378508644,True,132,1991-12-11,0
70,1,32,JCI,1436513D,JCI-1436513D,1.0000616724447269,True,166,1992-01-31,0
71,1,15,JCI,1436513D,JCI-1436513D,1.000032219174004,True,181,1992-02-24,0
72,1,63,JCI,1436513D,JCI-1436513D,1.000035465152786,True,244,1992-05-21,0
73,1,7,JCI,1436513D,JCI-1436513D,0.9999536509536028,False,252,1992-06-03,0
74,1,108,EIX,NEE,EIX-NEE,1.0225448229936862,True,240,1992-05-15,0
75,1,1,EIX,NEE,EIX-NEE,1.0225448229936862,False,252,1992-06-03,0
76,1,5,CEG,NEE,CEG-NEE,1.0207794972501811,True,142,1991-12-26,0
77,1,2,CEG,NEE,CEG-NEE,1.0185252305834318,True,145,1991-12-31,0
78,1,2,CEG,NEE,CEG-NEE,1.0194295952967976,True,150,1992-01-08,0
79,1,17,CEG,NEE,CEG-NEE,1.0266101966863068,True,169,1992-02-05,0
80,1,47,CEG,NEE,CEG-NEE,1.0364685624452616,True,222,1992-04-21,0
81,1,2,CEG,NEE,CEG-NEE,1.020366247497053,True,225,1992-04-24,0
82,1,2,45200Q,D,45200Q-D,1.0145333315078249,True,134,1991-12-13,0
83,1,10,45200Q,D,45200Q-D,1.0154078363796462,True,164,1992-01-29,0
84,1,13,45200Q,D,45200Q-D,1.0295603351155869,True,181,1992-02-24,0
85,1,4,45200Q,D,45200Q-D,1.028788995911506,True,188,1992-03-04,0
86,1,5,45200Q,D,45200Q-D,1.033005534117734,True,195,1992-03-13,0
87,1,3,45200Q,D,45200Q-D,1.0223404820215791,True,202,1992-03-24,0
88,1,4,45200Q,D,45200Q-D,1.020531799566754,True,220,1992-04-17,0
89,1,14,45200Q,D,45200Q-D,1.0132881715010211,True,234,1992-05-07,0
90,1,4,45200Q,D,45200Q-D,1.015568296359257,True,243,1992-05-20,0
91,1,5,45200Q,D,45200Q-D,1.007537718447571,False,252,1992-06-03,0
92,1,62,45200Q,DTE,45200Q-DTE,1.0142439576692373,True,205,1992-03-27,0
93,1,40,45200Q,DTE,45200Q-DTE,0.8900629609043877,False,252,1992-06-03,0
94,1,3,D,DTE,D-DTE,1.0225485629516873,True,139,1991-12-20,0
95,1,54,D,DTE,D-DTE,1.0184234396957084,True,196,1992-03-16,0
96,1,33,D,DTE,D-DTE,0.9191597075488744,False,252,1992-06-03,0
97,1,106,PEG,0961514D,PEG-0961514D,1.0246762035511638,False,252,1992-06-03,0
98,1,35,CNP,TXU,CNP-TXU,1.017760864105916,True,161,1992-01-24,0
99,1,89,CNP,TXU,CNP-TXU,0.9341452993728742,False,252,1992-06-03,0
100,1,46,EIX,CEG,EIX-CEG,1.026910556219628,True,178,1992-02-19,0
101,1,16,EIX,CEG,EIX-CEG,1.0218779991299585,True,213,1992-04-08,0
102,1,19,EIX,CEG,EIX-CEG,1.0280713778025623,True,239,1992-05-14,0
103,1,1,EIX,CEG,EIX-CEG,1.0280713778025623,False,252,1992-06-03,0
104,1,99,PPW,0961514D,PPW-0961514D,1.0246064448035828,True,243,1992-05-20,0
105,1,3,PPW,0961514D,PPW-0961514D,0.9862238210581822,False,252,1992-06-03,0
106,1,6,D,PCG,D-PCG,1.0278595062625695,True,132,1991-12-11,0
107,1,7,D,PCG,D-PCG,1.0153256829484831,True,143,1991-12-27,0
108,1,2,D,PCG,D-PCG,1.0227100177434083,True,145,1991-12-31,0
109,1,4,D,PCG,D-PCG,1.0360023570693646,True,150,1992-01-08,0
110,1,101,D,PCG,D-PCG,0.9996408894116756,False,252,1992-06-03,0
111,1,3,SO,DTE,SO-DTE,1.032858239799653,True,129,1991-12-06,0
112,1,115,SO,DTE,SO-DTE,0.878771342826349,False,252,1992-06-03,0
113,1,6,45200Q,AEP,45200Q-AEP,1.020473067696574,True,138,1991-12-19,0
114,1,13,45200Q,AEP,45200Q-AEP,1.0176302664532244,True,179,1992-02-20,0
115,1,6,45200Q,AEP,45200Q-AEP,1.0145139913500207,True,188,1992-03-04,0
116,1,4,45200Q,AEP,45200Q-AEP,1.020483080184439,True,208,1992-04-01,0
117,1,40,45200Q,AEP,45200Q-AEP,0.9517895309313856,False,252,1992-06-03,0
118,1,2,PPW,TXU,PPW-TXU,1.0252641320684786,True,130,1991-12-09,0
119,1,64,PPW,TXU,PPW-TXU,1.0217116977998806,True,198,1992-03-18,0
120,1,51,PPW,TXU,PPW-TXU,0.9705466300245558,False,252,1992-06-03,0
121,1,2,D,NEE,D-NEE,1.0171932687756382,True,144,1991-12-30,0
122,1,7,D,NEE,D-NEE,1.015813756306638,True,151,1992-01-09,0
123,1,2,D,NEE,D-NEE,1.022480024585126,True,164,1992-01-29,0
124,1,2,D,NEE,D-NEE,1.0197034378315164,True,224,1992-04-23,0
125,1,12,D,NEE,D-NEE,0.99373641533683,False,252,1992-06-03,0
126,1,3,PPW,PEG,PPW-PEG,1.0307466232264175,True,135,1991-12-16,0
127,1,4,PPW,PEG,PPW-PEG,1.0220428445233545,True,160,1992-01-23,0
128,1,15,PPW,PEG,PPW-PEG,1.0232599330165275,True,178,1992-02-19,0
129,1,3,PPW,PEG,PPW-PEG,1.0244665339526813,True,190,1992-03-06,0
130,1,3,PPW,PEG,PPW-PEG,1.025343101947135,True,209,1992-04-02,0
131,1,15,0961514D,TXU,0961514D-TXU,1.0309110730168314,True,148,1992-01-06,0
132,1,67,0961514D,TXU,0961514D-TXU,1.0379223838013711,True,231,1992-05-04,0
133,1,12,0961514D,TXU,0961514D-TXU,1.0214783100193183,True,249,1992-05-29,0
134,1,5,AEP,NEE,AEP-NEE,1.027770590330588,True,222,1992-04-21,0
135,1,9,AEP,NEE,AEP-NEE,1.0239061930188242,True,232,1992-05-05,0
136,1,4,XEL,PCG,XEL-PCG,1.039231958747183,True,150,1992-01-08,0
137,1,12,XEL,PCG,XEL-PCG,1.0282359527716525,True,192,1992-03-10,0
138,1,54,XEL,PCG,XEL-PCG,0.9957593705462264,False,252,1992-06-03,0
139,1,43,45200Q,PCG,45200Q-PCG,1.0188318367581066,True,169,1992-02-05,0
140,1,9,45200Q,PCG,45200Q-PCG,1.0246277818620433,True,187,1992-03-03,0
141,1,4,45200Q,PCG,45200Q-PCG,1.0233734303130206,True,191,1992-03-09,0
142,1,18,45200Q,PCG,45200Q-PCG,1.0364380730698473,True,212,1992-04-07,0
143,1,15,45200Q,PCG,45200Q-PCG,1.027637489191126,True,247,1992-05-27,0
144,2,3,JCI,1436513D,JCI-1436513D,1.0000724187309529,True,254,1992-06-05,0
145,2,2,JCI,1436513D,JCI-1436513D,1.0000649953668557,True,256,1992-06-09,0
146,2,2,JCI,1436513D,JCI-1436513D,1.000050224419288,True,259,1992-06-12,0
147,2,2,JCI,1436513D,JCI-1436513D,1.0000836334106096,True,261,1992-06-16,0
148,2,3,JCI,1436513D,JCI-1436513D,1.0000359944998127,True,266,1992-06-23,0
149,2,2,JCI,1436513D,JCI-1436513D,1.0000290025927048,True,270,1992-06-29,0
150,2,2,JCI,1436513D,JCI-1436513D,1.000031882020646,True,272,1992-07-01,0
151,2,2,JCI,1436513D,JCI-1436513D,1.000051080562275,True,278,1992-07-10,0
152,2,2,JCI,1436513D,JCI-1436513D,1.0000341439329694,True,281,1992-07-15,0
153,2,3,JCI,1436513D,JCI-1436513D,1.0000490757248175,True,290,1992-07-28,0
154,2,2,JCI,1436513D,JCI-1436513D,1.0000354358552936,True,300,1992-08-11,0
155,2,9,JCI,1436513D,JCI-1436513D,1.000050387145247,True,314,1992-08-31,0
156,2,2,JCI,1436513D,JCI-1436513D,1.000045926356984,True,325,1992-09-16,0
157,2,2,JCI,1436513D,JCI-1436513D,1.0000304166746086,True,329,1992-09-22,0
158,2,2,JCI,1436513D,JCI-1436513D,1.0000150613689591,True,348,1992-10-20,0
159,2,2,JCI,1436513D,JCI-1436513D,1.0000468222571,True,353,1992-10-27,0
160,2,4,JCI,1436513D,JCI-1436513D,1.0000469152395184,True,358,1992-11-03,0
161,2,4,JCI,1436513D,JCI-1436513D,1.0000516853295354,True,362,1992-11-09,0
162,2,4,JCI,1436513D,JCI-1436513D,1.000031276665597,True,366,1992-11-16,0
163,2,5,AEP,NEE,AEP-NEE,1.0277912067532593,True,270,1992-06-29,0
164,2,27,AEP,NEE,AEP-NEE,1.0083019410351672,True,299,1992-08-10,0
165,2,14,AEP,NEE,AEP-NEE,1.0198656422914472,True,319,1992-09-08,0
166,2,4,AEP,NEE,AEP-NEE,1.0151340390936856,True,323,1992-09-14,0
167,2,16,AEP,NEE,AEP-NEE,1.0282254630845424,True,340,1992-10-07,0
168,2,38,AEP,NEE,AEP-NEE,1.0153961981795134,False,379,1992-12-04,0
169,2,27,3054Q,210967Q,3054Q-210967Q,1.026110468860437,True,287,1992-07-23,0
170,2,6,3054Q,210967Q,3054Q-210967Q,1.021398632167979,True,317,1992-09-03,0
171,2,19,3054Q,210967Q,3054Q-210967Q,1.0145953463434805,True,341,1992-10-08,0
172,2,5,3054Q,210967Q,3054Q-210967Q,1.0146861961851734,True,349,1992-10-21,0
173,2,13,3054Q,210967Q,3054Q-210967Q,0.983313278616587,False,379,1992-12-04,0
174,2,7,USW,BLS,USW-BLS,1.0157204350199427,True,263,1992-06-18,0
175,2,3,USW,BLS,USW-BLS,1.024835107805326,True,269,1992-06-26,0
176,2,17,USW,BLS,USW-BLS,1.025549564803422,True,297,1992-08-06,0
177,2,8,USW,BLS,USW-BLS,1.015080969811338,True,307,1992-08-20,0
178,2,8,USW,BLS,USW-BLS,1.015020732443394,True,317,1992-09-03,0
179,2,5,USW,BLS,USW-BLS,1.031525863608941,True,326,1992-09-17,0
180,2,13,USW,BLS,USW-BLS,1.0179729058363485,True,341,1992-10-08,0
181,2,11,USW,BLS,USW-BLS,1.026739726456546,True,366,1992-11-16,0
182,2,3,USW,BLS,USW-BLS,1.023610723560081,True,377,1992-12-02,0
183,2,92,BLS,693365Q,BLS-693365Q,1.0402168146596118,True,343,1992-10-13,0
184,2,3,BLS,693365Q,BLS-693365Q,1.0230261584550642,True,353,1992-10-27,0
185,2,50,USW,693365Q,USW-693365Q,1.047335351471336,True,301,1992-08-12,0
186,2,2,USW,693365Q,USW-693365Q,1.0323538063919648,True,306,1992-08-19,0
187,2,22,USW,693365Q,USW-693365Q,1.0443635470103994,True,347,1992-10-19,0
188,2,15,USW,693365Q,USW-693365Q,1.028045179203717,True,364,1992-11-12,0
189,2,5,BLS,3054Q,BLS-3054Q,1.0320829351021998,True,256,1992-06-09,0
190,2,19,BLS,3054Q,BLS-3054Q,1.0506180945271828,True,283,1992-07-17,0
191,2,5,BLS,3054Q,BLS-3054Q,1.0131135386491452,True,299,1992-08-10,0
192,2,20,BLS,3054Q,BLS-3054Q,1.031037182454719,True,321,1992-09-10,0
193,2,4,BLS,3054Q,BLS-3054Q,1.0202890400505635,True,329,1992-09-22,0
194,2,39,BLS,3054Q,BLS-3054Q,0.9136192264965,False,379,1992-12-04,0
195,2,51,NEE,TXU,NEE-TXU,1.009941026149142,True,334,1992-09-29,0
196,2,41,NEE,TXU,NEE-TXU,0.9805606886558388,False,379,1992-12-04,0
197,2,13,45200Q,DUK,45200Q-DUK,1.0370578344116894,True,264,1992-06-19,0
198,2,7,45200Q,DUK,45200Q-DUK,1.021376899446145,True,277,1992-07-09,0
199,2,5,45200Q,DUK,45200Q-DUK,1.017917157871535,True,362,1992-11-09,0
200,2,3,45200Q,DUK,45200Q-DUK,1.0350735725476612,True,373,1992-11-25,0
201,2,127,XEL,ETR,XEL-ETR,0.9250228687225472,False,379,1992-12-04,0
202,2,5,BLS,210967Q,BLS-210967Q,1.0403186395208328,True,256,1992-06-09,0
203,2,3,BLS,210967Q,BLS-210967Q,1.0333359042405088,True,304,1992-08-17,0
204,2,74,BLS,210967Q,BLS-210967Q,0.9520878109316456,False,379,1992-12-04,0
205,2,36,45200Q,D,45200Q-D,1.045919485292613,True,287,1992-07-23,0
206,2,53,45200Q,D,45200Q-D,1.0180725971862044,True,343,1992-10-13,0
207,2,5,45200Q,D,45200Q-D,1.0185554490773396,True,348,1992-10-20,0
208,2,6,45200Q,D,45200Q-D,1.0083223648842756,False,379,1992-12-04,0
209,2,8,300583Q,2500Q,300583Q-2500Q,1.023810795310497,True,328,1992-09-21,0
210,2,8,300583Q,2500Q,300583Q-2500Q,1.0418189755282723,True,355,1992-10-29,0
211,2,1,300583Q,2500Q,300583Q-2500Q,1.0418189755282723,False,379,1992-12-04,0
212,2,53,300583Q,8375930Q,300583Q-8375930Q,1.059796087520929,True,306,1992-08-19,0
213,2,6,300583Q,8375930Q,300583Q-8375930Q,1.0371168488503628,True,314,1992-08-31,0
214,2,25,300583Q,8375930Q,300583Q-8375930Q,1.032564127811986,True,344,1992-10-14,0
215,2,4,300583Q,8375930Q,300583Q-8375930Q,1.039594232896076,True,348,1992-10-20,0
216,2,7,300583Q,8375930Q,300583Q-8375930Q,1.0250972141548884,True,357,1992-11-02,0
217,2,16,300583Q,8375930Q,300583Q-8375930Q,1.0367980792996083,True,373,1992-11-25,0
218,2,4,300583Q,8375930Q,300583Q-8375930Q,1.0033293525876452,False,379,1992-12-04,0
219,2,7,1005945D,CEG,1005945D-CEG,1.019372636815287,True,279,1992-07-13,0
220,2,91,1005945D,CEG,1005945D-CEG,0.9588138792633906,False,379,1992-12-04,0
221,2,2,DUK,CNP,DUK-CNP,1.0194654327991457,True,274,1992-07-06,0
222,2,22,DUK,CNP,DUK-CNP,1.0170566878036138,True,299,1992-08-10,0
223,2,10,DUK,CNP,DUK-CNP,1.020366870911465,True,327,1992-09-18,0
224,2,10,D,NEE,D-NEE,1.0228655122954171,True,261,1992-06-16,0
