,Semester,Days,S1,S2,Pair,Return,Converged,Count day
0,0,33,JCI,1436513D,JCI-1436513D,1.0000339721296883,True,33
1,0,13,JCI,1436513D,JCI-1436513D,1.000067053695677,True,47
2,0,28,JCI,1436513D,JCI-1436513D,1.0000880773032392,True,78
3,0,9,JCI,1436513D,JCI-1436513D,1.0000487634419453,True,87
4,0,17,JCI,1436513D,JCI-1436513D,1.0000517140747271,True,105
5,0,2,JCI,1436513D,JCI-1436513D,1.0000496473936427,True,108
6,0,4,JCI,1436513D,JCI-1436513D,1.0000530726014745,True,116
7,0,2,JCI,1436513D,JCI-1436513D,1.0000530720456642,True,118
8,0,8,JCI,1436513D,JCI-1436513D,1.0000303561700472,True,126
9,0,7,AXP,VAT,AXP-VAT,0.95,False,21
10,0,3,AXP,VAT,AXP-VAT,0.95,False,104
11,0,6,DOV,FJ,DOV-FJ,1.0561653534215103,True,17
12,0,6,DOV,FJ,DOV-FJ,0.95,False,32
13,0,3,IFF,WLA,IFF-WLA,0.95,False,10
14,0,2,DOW,NYT,DOW-NYT,1.0311973864416943,True,6
15,0,21,DOW,NYT,DOW-NYT,1.040545653729688,True,33
16,0,12,DOW,NYT,DOW-NYT,1.0316708116159037,True,49
17,0,7,DOW,NYT,DOW-NYT,0.95,False,74
18,0,6,DOW,NYT,DOW-NYT,1.105111093701688,True,126
19,0,10,MAS,CVS,MAS-CVS,1.0378063523521592,True,33
20,0,19,MAS,CVS,MAS-CVS,1.0412765601711729,True,53
21,0,25,MAS,CVS,MAS-CVS,0.95,False,97
22,0,13,MAS,CVS,MAS-CVS,0.95,False,120
23,0,7,PEP,1028411Q,PEP-1028411Q,0.95,False,13
24,0,12,1680Q,TIN,1680Q-TIN,0.95,False,22
25,0,4,PEP,THY,PEP-THY,0.95,False,3
26,0,17,PEP,THY,PEP-THY,0.95,False,24
27,0,4,CAT,WMX,CAT-WMX,1.0476194847837101,True,3
28,0,24,CAT,WMX,CAT-WMX,1.0653927487557353,True,30
29,0,20,CAT,WMX,CAT-WMX,1.0761989505750944,True,95
30,0,3,CAT,WMX,CAT-WMX,0.95,False,103
